instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|36674,36674.0,FINNIFTY24JUN21550CE,,856.0,2024-06-25,21550.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36688,36688.0,NIFTY25DEC19500CE,,6000.0,2025-12-24,19500.0,0.05,25.0,OPTIDX,CE,NSE_FO
NSE_FO|36711,36711.0,FINNIFTY24JUN21550PE,,202.1,2024-06-25,21550.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36712,36712.0,FINNIFTY24JUN21650CE,,683.85,2024-06-25,21650.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36714,36714.0,FINNIFTY24JUN21650PE,,173.65,2024-06-25,21650.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36717,36717.0,FINNIFTY24JUN21750CE,,620.4,2024-06-25,21750.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36719,36719.0,FINNIFTY24JUN21750PE,,270.65,2024-06-25,21750.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36722,36722.0,FINNIFTY24JUN21850CE,,560.55,2024-06-25,21850.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36723,36723.0,FINNIFTY24JUN21850PE,,310.2,2024-06-25,21850.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36726,36726.0,FINNIFTY24JUN21950CE,,590.0,2024-06-25,21950.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36729,36729.0,FINNIFTY24JUN21950PE,,445.75,2024-06-25,21950.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36730,36730.0,FINNIFTY24JUN22050CE,,415.65,2024-06-25,22050.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36733,36733.0,FINNIFTY24JUN22050PE,,27.1,2024-06-25,22050.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36734,36734.0,FINNIFTY24JUN22150CE,,479.85,2024-06-25,22150.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36735,36735.0,FINNIFTY24JUN22150PE,,37.35,2024-06-25,22150.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36736,36736.0,FINNIFTY24JUN22250CE,,364.0,2024-06-25,22250.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|36737,36737.0,FINNIFTY24JUN22250PE,,53.9,2024-06-25,22250.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|36738,36738.0,FINNIFTY24JUN22350CE,,297.35,2024-06-25,22350.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37007,37007.0,BANKNIFTY24JUN42500CE,,7329.2,2024-06-26,42500.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|37097,37097.0,MIDCPNIFTY24JUN12050CE,,127.25,2024-06-24,12050.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|37098,37098.0,MIDCPNIFTY24JUN12050PE,,63.25,2024-06-24,12050.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|37107,37107.0,FINNIFTY24JUN22350PE,,73.25,2024-06-25,22350.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37108,37108.0,FINNIFTY24JUN22450CE,,233.6,2024-06-25,22450.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37109,37109.0,MIDCPNIFTY24JUN12075CE,,111.45,2024-06-24,12075.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|37111,37111.0,MIDCPNIFTY24JUN12075PE,,72.55,2024-06-24,12075.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|37113,37113.0,MIDCPNIFTY24JUN12125CE,,83.3,2024-06-24,12125.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|37114,37114.0,MIDCPNIFTY24JUN12125PE,,94.0,2024-06-24,12125.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|37115,37115.0,MIDCPNIFTY24JUN12150CE,,70.95,2024-06-24,12150.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|37116,37116.0,MIDCPNIFTY24JUN12150PE,,106.8,2024-06-24,12150.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|37119,37119.0,MIDCPNIFTY24JUN12175CE,,60.0,2024-06-24,12175.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|37124,37124.0,MIDCPNIFTY24JUN12175PE,,120.75,2024-06-24,12175.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|37125,37125.0,MIDCPNIFTY24JUN13600CE,,0.45,2024-06-24,13600.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|37131,37131.0,MIDCPNIFTY24JUN13600PE,,2681.9,2024-06-24,13600.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|37271,37271.0,BANKNIFTY24JUN42500PE,,3.4,2024-06-26,42500.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|37294,37294.0,FINNIFTY24JUN22450PE,,101.95,2024-06-25,22450.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37295,37295.0,FINNIFTY24JUN22550CE,,169.4,2024-06-25,22550.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37610,37610.0,FINNIFTY24JUN22550PE,,143.05,2024-06-25,22550.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37621,37621.0,FINNIFTY24JUN22650CE,,124.4,2024-06-25,22650.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37624,37624.0,FINNIFTY24JUN22650PE,,187.85,2024-06-25,22650.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37625,37625.0,FINNIFTY24JUN22750CE,,85.1,2024-06-25,22750.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37630,37630.0,FINNIFTY24JUN22750PE,,829.0,2024-06-25,22750.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37631,37631.0,FINNIFTY24JUN22850CE,,56.5,2024-06-25,22850.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37639,37639.0,FINNIFTY24JUN22850PE,,904.35,2024-06-25,22850.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37640,37640.0,FINNIFTY24JUN22950CE,,37.7,2024-06-25,22950.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37647,37647.0,FINNIFTY24JUN22950PE,,980.55,2024-06-25,22950.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37648,37648.0,FINNIFTY24JUN23050CE,,117.0,2024-06-25,23050.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37677,37677.0,BANKNIFTY24JUN43000CE,,7420.0,2024-06-26,43000.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|37678,37678.0,FINNIFTY24JUN23050PE,,1060.2,2024-06-25,23050.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37679,37679.0,FINNIFTY24JUN23150CE,,16.05,2024-06-25,23150.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37688,37688.0,FINNIFTY24JUN23150PE,,1142.2,2024-06-25,23150.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37689,37689.0,FINNIFTY24JUN23250CE,,58.95,2024-06-25,23250.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37699,37699.0,FINNIFTY24JUN23250PE,,1226.4,2024-06-25,23250.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|37700,37700.0,FINNIFTY24JUN23350CE,,7.7,2024-06-25,23350.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|37722,37722.0,NIFTY24JUN23000CE,,596.35,2024-06-27,23000.0,0.05,25.0,OPTIDX,CE,NSE_FO
NSE_FO|37723,37723.0,NIFTY24JUN23000PE,,30.45,2024-06-27,23000.0,0.05,25.0,OPTIDX,PE,NSE_FO
NSE_FO|37724,37724.0,NIFTY24DEC23000CE,,1687.85,2024-12-26,23000.0,0.05,25.0,OPTIDX,CE,NSE_FO
